nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Gini Rasio";Perdesaan;2005;Tahunan;0.234;"KALIMANTAN TIMUR"
"Gini Rasio";Perdesaan;2005;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.282;"SULAWESI UTARA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.259;"SULAWESI TENGAH"
"Gini Rasio";Perdesaan;2005;Tahunan;0.235;"SULAWESI SELATAN"
"Gini Rasio";Perdesaan;2005;Tahunan;0.29;"SULAWESI TENGGARA"
"Gini Rasio";Perdesaan;2005;Tahunan;0.246;GORONTALO
"Gini Rasio";Perdesaan;2005;Tahunan;0;"SULAWESI BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.174;MALUKU
"Gini Rasio";Perdesaan;2005;Tahunan;0.217;"MALUKU UTARA"
"Gini Rasio";Perdesaan;2005;Tahunan;-;"PAPUA BARAT"
"Gini Rasio";Perdesaan;2005;Tahunan;0.546;PAPUA
"Gini Rasio";Perdesaan;2005;Tahunan;0.28;INDONESIA
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.288;ACEH
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.304;"SUMATERA UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.387;"SUMATERA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.293;RIAU
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.304;JAMBI
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.281;"SUMATERA SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.286;BENGKULU
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.31;LAMPUNG
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.236;"KEP. BANGKA BELITUNG"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.399;"KEP. RIAU"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.337;"DKI JAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.329;"JAWA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.323;"JAWA TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.407;"DI YOGYAKARTA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.318;"JAWA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.324;BANTEN
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.36;BALI
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.331;"NUSA TENGGARA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.301;"NUSA TENGGARA TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.292;"KALIMANTAN BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.322;"KALIMANTAN TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.29;"KALIMANTAN SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.326;"KALIMANTAN TIMUR"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;-;"KALIMANTAN UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.401;"SULAWESI UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.282;"SULAWESI TENGAH"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.361;"SULAWESI SELATAN"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.314;"SULAWESI TENGGARA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.248;GORONTALO
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0;"SULAWESI BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.266;MALUKU
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.276;"MALUKU UTARA"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;-;"PAPUA BARAT"
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.506;PAPUA
"Gini Rasio";Perkotaan+Perdesaan;2005;Tahunan;0.355;INDONESIA
"Gini Rasio";Perkotaan;2007;Tahunan;0.289;ACEH
"Gini Rasio";Perkotaan;2007;Tahunan;0.329;"SUMATERA UTARA"
"Gini Rasio";Perkotaan;2007;Tahunan;0.309;"SUMATERA BARAT"
"Gini Rasio";Perkotaan;2007;Tahunan;0.335;RIAU
"Gini Rasio";Perkotaan;2007;Tahunan;0.333;JAMBI
